x,y,theta,s
10.090499,7.626297,-1.557833,57.927837
10.091784,7.527166,-1.584170,58.026976
10.090427,7.425749,-1.608133,58.128402
10.086560,7.322215,-1.629957,58.232009
10.080312,7.216728,-1.649848,58.337681
10.071814,7.109454,-1.667990,58.445291
10.061197,7.000560,-1.684542,58.554701
10.048591,6.890211,-1.699644,58.665768
10.034127,6.778574,-1.713419,58.778338
10.017934,6.665814,-1.725974,58.892255
10.000145,6.552097,-1.737401,59.007354
9.980889,6.437590,-1.747781,59.123469
9.960297,6.322459,-1.757183,59.240427
9.938500,6.206868,-1.765667,59.358055
9.915628,6.090985,-1.773283,59.476174
9.891811,5.974975,-1.780075,59.594604
9.867180,5.859005,-1.786075,59.713161
9.841866,5.743240,-1.791312,59.831661
9.815999,5.627846,-1.795806,59.949919
9.789710,5.512989,-1.799571,60.067746
9.763129,5.398836,-1.802613,60.184953
9.736387,5.285552,-1.804931,60.301350
9.709615,5.173303,-1.806520,60.416748
9.682942,5.062255,-1.807363,60.530954
9.656500,4.952574,-1.807362,60.643777
9.630411,4.844357,-1.806314,60.755095
9.604780,4.737548,-1.804153,60.864936
9.579709,4.632069,-1.800837,60.973354
9.555301,4.527843,-1.796328,61.080399
9.531657,4.424791,-1.790586,61.186129
9.508880,4.322835,-1.783577,61.290598
9.487073,4.221898,-1.775266,61.393864
9.466337,4.121901,-1.765625,61.495988
9.446775,4.022768,-1.754629,61.597033
9.428489,3.924420,-1.742258,61.697067
9.411581,3.826780,-1.728499,61.796160
9.396154,3.729769,-1.713345,61.894390
9.382310,3.633310,-1.696798,61.991837
9.370152,3.537325,-1.678871,62.088589
9.359780,3.441736,-1.659586,62.184739
9.351299,3.346466,-1.638977,62.280386
9.344810,3.251436,-1.617090,62.375637
9.340415,3.156568,-1.593984,62.470607
9.338217,3.061786,-1.569733,62.565414
9.338318,2.967010,-1.544423,62.660190
9.340820,2.872164,-1.518152,62.755069
9.345825,2.777170,-1.491033,62.850195
9.353436,2.681948,-1.463185,62.945721
9.363756,2.586423,-1.434741,63.041802
9.376886,2.490516,-1.405837,63.138603
9.392928,2.394149,-1.376613,63.236296
9.411986,2.297244,-1.347213,63.335058
9.434160,2.199723,-1.317778,63.435068
9.459554,2.101510,-1.288443,63.536511
9.488270,2.002525,-1.259339,63.639577
9.520410,1.902691,-1.230628,63.744457
9.556071,1.801934,-1.204222,63.851338
9.595083,1.700322,-1.182408,63.960182
9.636896,1.598131,-1.164927,64.070596
9.680935,1.495650,-1.151431,64.182139
9.726622,1.393170,-1.141675,64.294342
9.773380,1.290981,-1.135514,64.406720
9.820631,1.189372,-1.132895,64.518779
9.867798,1.088634,-1.133862,64.630012
9.914304,0.989058,-1.138560,64.739913
9.959572,0.890932,-1.147253,64.847977
10.003025,0.794548,-1.160336,64.953703
10.044086,0.700195,-1.178377,65.056604
10.082176,0.608164,-1.202149,65.156206
